epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5101.11,3.31157,10.1375,3.32478,0.33636,0.17854,0.15965,0.08078,3.57302,11.4249,3.62299,0.000552527,0.000552527,0.000552527
2,9138.18,3.48242,6.57189,3.42207,0.25802,0.11856,0.09626,0.04894,5.19603,8.90121,4.95751,0.000998483,0.000998483,0.000998483
3,13440,3.51372,4.75858,3.40486,0.46759,0.37695,0.37237,0.18825,3.48178,4.93996,3.4963,0.00133442,0.00133442,0.00133442
4,17726.3,3.36034,4.01094,3.30941,0.41471,0.43894,0.39643,0.22176,3.33846,3.94491,3.23165,0.0011719,0.0011719,0.0011719
5,21981.7,3.23059,3.61805,3.16285,0.55346,0.47426,0.48816,0.26251,3.27129,3.42581,3.17256,0.00100687,0.00100687,0.00100687
6,26062.9,3.16163,3.28006,3.09607,0.53032,0.49674,0.48366,0.27834,3.12216,3.07254,2.98962,0.000841835,0.000841835,0.000841835
7,31045.2,3.01535,3.10769,3.00578,0.61018,0.53118,0.56107,0.31968,2.99437,2.82603,2.91841,0.000676802,0.000676802,0.000676802
8,35275.7,2.92328,2.90365,2.92094,0.62136,0.53623,0.55864,0.32513,2.98684,2.6817,2.89651,0.000511769,0.000511769,0.000511769
9,39307.5,2.86314,2.76782,2.88841,0.60792,0.54722,0.58051,0.35066,2.8517,2.65086,2.82805,0.000346736,0.000346736,0.000346736
10,43374,2.74324,2.59691,2.79589,0.67374,0.5749,0.61778,0.37105,2.78718,2.45574,2.78453,0.000181703,0.000181703,0.000181703
